2021-12-12 18:12:79 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 18:12:742 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 18:12:268 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 18:12:886 INFO  HomePage :28 - Click BankManager Login : [[ChromeDriver: chrome on WINDOWS (4e2e2d4890170100801ae78ed8037786)] -> xpath: //button[normalize-space()='Bank Manager Login']]
2021-12-12 18:12:215 INFO  BankManagerLoginPage :28 - Click Add customer : [[ChromeDriver: chrome on WINDOWS (4e2e2d4890170100801ae78ed8037786)] -> xpath: //button[normalize-space()='Add Customer']]
2021-12-12 18:12:585 INFO  AddCustomerPage :36 - Enter First name : Bob[[ChromeDriver: chrome on WINDOWS (4e2e2d4890170100801ae78ed8037786)] -> xpath: //input[@placeholder='First Name']]
2021-12-12 18:12:682 INFO  AddCustomerPage :41 - Enter First name : Alexa[[ChromeDriver: chrome on WINDOWS (4e2e2d4890170100801ae78ed8037786)] -> xpath: //input[@placeholder='Last Name']]
2021-12-12 18:12:790 INFO  AddCustomerPage :46 - Enter PostCode : AB1 2CD[[ChromeDriver: chrome on WINDOWS (4e2e2d4890170100801ae78ed8037786)] -> xpath: //input[@placeholder='Post Code']]
2021-12-12 18:12:861 INFO  AddCustomerPage :51 - Add Customer : [[ChromeDriver: chrome on WINDOWS (4e2e2d4890170100801ae78ed8037786)] -> xpath: //button[@type='submit']]
2021-12-12 18:12:866 INFO  AddCustomerPage :55 - Verify Alert Text : Customer added successfully with customer id :6
2021-12-12 18:12:928 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 18:12:297 INFO  HomePage :28 - Click BankManager Login : [[ChromeDriver: chrome on WINDOWS (6aaa43104e253c9d12b59a81936d51be)] -> xpath: //button[normalize-space()='Bank Manager Login']]
2021-12-12 18:12:668 INFO  BankManagerLoginPage :28 - Click Add customer : [[ChromeDriver: chrome on WINDOWS (6aaa43104e253c9d12b59a81936d51be)] -> xpath: //button[normalize-space()='Add Customer']]
2021-12-12 18:12:46 INFO  AddCustomerPage :36 - Enter First name : Bob[[ChromeDriver: chrome on WINDOWS (6aaa43104e253c9d12b59a81936d51be)] -> xpath: //input[@placeholder='First Name']]
2021-12-12 18:12:141 INFO  AddCustomerPage :41 - Enter First name : Alexa[[ChromeDriver: chrome on WINDOWS (6aaa43104e253c9d12b59a81936d51be)] -> xpath: //input[@placeholder='Last Name']]
2021-12-12 18:12:239 INFO  AddCustomerPage :46 - Enter PostCode : AB1 2CD[[ChromeDriver: chrome on WINDOWS (6aaa43104e253c9d12b59a81936d51be)] -> xpath: //input[@placeholder='Post Code']]
2021-12-12 18:12:301 INFO  AddCustomerPage :51 - Add Customer : [[ChromeDriver: chrome on WINDOWS (6aaa43104e253c9d12b59a81936d51be)] -> xpath: //button[@type='submit']]
2021-12-12 18:12:388 INFO  BankManagerLoginPage :32 - Click Open account : [[ChromeDriver: chrome on WINDOWS (6aaa43104e253c9d12b59a81936d51be)] -> xpath: //button[normalize-space()='Open Account']]
2021-12-12 18:12:793 INFO  OpenAccountPage :35 - Select Customer : Bob Alexa[[ChromeDriver: chrome on WINDOWS (6aaa43104e253c9d12b59a81936d51be)] -> xpath: //select[@id='userSelect']]
2021-12-12 18:12:897 INFO  OpenAccountPage :40 - Select Currency : Pound[[ChromeDriver: chrome on WINDOWS (6aaa43104e253c9d12b59a81936d51be)] -> xpath: //select[@id='currency']]
2021-12-12 18:12:949 INFO  OpenAccountPage :45 - Click Process button : [[ChromeDriver: chrome on WINDOWS (6aaa43104e253c9d12b59a81936d51be)] -> xpath: //button[normalize-space()='Process']]
2021-12-12 18:12:694 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 18:12:164 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 18:12:884 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 18:12:545 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 18:12:848 INFO  HomePage :28 - Click BankManager Login : [[ChromeDriver: chrome on WINDOWS (f172b8e7dcfad5e0549de74b4fae411d)] -> xpath: //button[normalize-space()='Bank Manager Login']]
2021-12-12 18:12:251 INFO  BankManagerLoginPage :28 - Click Add customer : [[ChromeDriver: chrome on WINDOWS (f172b8e7dcfad5e0549de74b4fae411d)] -> xpath: //button[normalize-space()='Add Customer']]
2021-12-12 18:12:717 INFO  AddCustomerPage :36 - Enter First name : Bob[[ChromeDriver: chrome on WINDOWS (f172b8e7dcfad5e0549de74b4fae411d)] -> xpath: //input[@placeholder='First Name']]
2021-12-12 18:12:795 INFO  AddCustomerPage :41 - Enter First name : Alexa[[ChromeDriver: chrome on WINDOWS (f172b8e7dcfad5e0549de74b4fae411d)] -> xpath: //input[@placeholder='Last Name']]
2021-12-12 18:12:888 INFO  AddCustomerPage :46 - Enter PostCode : AB1 2CD[[ChromeDriver: chrome on WINDOWS (f172b8e7dcfad5e0549de74b4fae411d)] -> xpath: //input[@placeholder='Post Code']]
2021-12-12 18:12:955 INFO  AddCustomerPage :51 - Add Customer : [[ChromeDriver: chrome on WINDOWS (f172b8e7dcfad5e0549de74b4fae411d)] -> xpath: //button[@type='submit']]
2021-12-12 18:12:960 INFO  AddCustomerPage :55 - Verify Alert Text : Customer added successfully with customer id :6
2021-12-12 18:12:27 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 18:12:360 INFO  HomePage :28 - Click BankManager Login : [[ChromeDriver: chrome on WINDOWS (8eb9b21a584fc93518942cae9d1a9cbb)] -> xpath: //button[normalize-space()='Bank Manager Login']]
